data;id_compra;loja;vendedor;produto;cliente_nome;cliente_genero;forma_pagamento
2025-06-30 12:06:54.474001;0;Florianopoles;Isabale Gomes;Geladeira Sansung;George Langley;masculino;boleto
2025-05-15 13:00:54.505849;1;Florianopoles;Paulo de Sousa;Smartphone Sansung Galaxy;Kenneth Sylvester;masculino;pix
2025-08-25 20:37:54.507115;2;São Paulo;Lucas Pereira;Smartwatch Sansung M3;Billy Hamilton;masculino;pix
2025-10-17 10:29:54.507446;3;Florianopoles;Paulo de Sousa;Smartwatch Sansung M3;Frederic Mcintyre;masculino;cartão de crédito
2025-01-30 19:54:54.508126;4;Recife;Bruno Otavio;Geladeira Sansung;Dana Doonan;masculino;cartão de crédito
2025-12-28 18:42:54.517801;5;Recife;João Victor;Smartwatch Sansung M3;Marie Anderson;femasculino;boleto
2025-11-10 14:29:54.532892;6;Belo Horizonte;Joana Silva;Cama Solteiro Ortobom;Sherrie Berrios;femasculino;cartão de crédito
2025-08-13 10:51:54.534374;7;Copa Cabana;Carlos Silva;Playstation 5;Barney Weiss;masculino;boleto
2025-03-03 16:45:54.535001;8;Copa Cabana;Carlos Silva;Smartphone Sansung Galaxy;Alicia Powell;femasculino;pix
2025-06-30 16:45:54.535206;9;Belo Horizonte;Joana Silva;Smartphone Sansung Galaxy;Thomas Ritter;masculino;cartão de crédito
2025-03-24 18:16:54.535722;10;Copa Cabana;Carlos Silva;Smartwatch Sansung M3;Maria Mckenzie;femasculino;boleto
2025-05-10 18:11:54.536016;11;Florianopoles;Isabale Gomes;Playstation 5;Eric Carter;masculino;cartão de crédito
2025-04-30 19:01:54.536172;12;Copa Cabana;Luis Costa;Smartphone Sansung Galaxy;Scott Velasquez;masculino;dinheiro
2025-08-16 17:27:54.536537;13;São Paulo;Ana Oliveira;Cama Solteiro Ortobom;Neil Jones;masculino;dinheiro
2025-05-25 19:59:54.536722;14;Recife;João Victor;Cama Solteiro Ortobom;Victor Rodriguez;masculino;pix
2025-03-02 20:53:54.536867;15;Copa Cabana;Carlos Silva;Smartwatch Sansung M3;Michael Kunzel;masculino;boleto
2025-03-03 13:34:54.565140;16;São Paulo;Ana Oliveira;Geladeira Sansung;Valerie Meurer;femasculino;dinheiro
2025-07-05 12:58:54.570358;17;Belo Horizonte;Joana Silva;Smartwatch Sansung M3;Elizabeth Beamon;femasculino;dinheiro
2025-08-27 20:25:54.572567;18;Belo Horizonte;Joana Silva;Smartphone Sansung Galaxy;Willie Fulton;masculino;pix
2025-06-18 11:39:54.573198;19;Copa Cabana;Carlos Silva;Smartphone Sansung Galaxy;Thomas Mcgill;masculino;pix
2025-04-14 20:33:54.573837;20;São Paulo;Ana Oliveira;Playstation 5;Michele Gerace;femasculino;pix
2025-02-17 16:39:54.579875;21;Copa Cabana;Luis Costa;Playstation 5;Salvador Schultz;masculino;pix
2025-03-24 11:01:54.580319;22;São Paulo;Lucas Pereira;Smartwatch Sansung M3;William Macpartland;masculino;boleto
2025-05-10 18:12:54.614320;23;São Paulo;Ana Oliveira;Playstation 5;Casey Mcwilliams;femasculino;dinheiro
2025-11-14 14:28:54.615310;24;Recife;Bruno Otavio;Cama Solteiro Ortobom;Ernestine Townsend;femasculino;cartão de crédito
2025-04-24 19:34:54.615711;25;Copa Cabana;Carlos Silva;Cama Solteiro Ortobom;Leslie George;femasculino;pix
2025-11-30 13:52:54.615946;26;Belo Horizonte;Olivia Sousa;Geladeira Sansung;Michael Ferreira;masculino;pix
2025-03-09 13:37:54.616644;27;Copa Cabana;Luis Costa;Playstation 5;Joseph Atlas;masculino;boleto
2025-12-19 15:16:54.621949;28;Florianopoles;Isabale Gomes;Smartphone Sansung Galaxy;Jason Lanham;masculino;pix
2025-06-24 15:14:54.623495;29;Florianopoles;Isabale Gomes;Cama Solteiro Ortobom;Charles Reagan;masculino;cartão de crédito
2025-02-18 13:54:54.624602;30;Belo Horizonte;Joana Silva;Cama Solteiro Ortobom;Allan Dean;masculino;boleto
2025-11-10 16:58:54.625048;31;Copa Cabana;Carlos Silva;Geladeira Sansung;Roberta Carpenter;femasculino;boleto
2025-03-04 19:42:54.625409;32;Copa Cabana;Carlos Silva;Geladeira Sansung;Lieselotte Cruise;femasculino;dinheiro
2026-01-13 19:48:54.631095;33;Florianopoles;Paulo de Sousa;Playstation 5;Kathleen Tavolario;femasculino;boleto
2025-10-08 12:20:54.657822;34;Belo Horizonte;Joana Silva;Playstation 5;Scott Russell;masculino;dinheiro
2025-07-27 12:27:54.658202;35;Recife;Bruno Otavio;Smartphone Sansung Galaxy;Mark Wilson;masculino;boleto
2025-07-19 20:37:54.658428;36;Copa Cabana;Luis Costa;Cama Solteiro Ortobom;Paul Rundlett;masculino;dinheiro
2025-09-24 10:52:54.677634;37;Copa Cabana;Luis Costa;Smartwatch Sansung M3;Doretha Braun;femasculino;cartão de crédito
2025-08-23 14:30:54.678682;38;Recife;Bruno Otavio;Smartwatch Sansung M3;Steven Burchill;masculino;pix
2025-08-05 20:24:54.687947;39;São Paulo;Lucas Pereira;Smartphone Sansung Galaxy;Janet Smith;femasculino;dinheiro
2025-03-12 11:38:54.688274;40;Belo Horizonte;Olivia Sousa;Smartphone Sansung Galaxy;Debra Sloan;femasculino;cartão de crédito
2025-09-02 17:50:54.688883;41;Belo Horizonte;Olivia Sousa;Playstation 5;Omar Mccarty;masculino;cartão de crédito
2025-12-22 14:52:54.689944;42;Recife;Bruno Otavio;Smartphone Sansung Galaxy;Robert Hughes;masculino;boleto
2025-02-04 16:38:54.690196;43;Recife;João Victor;Smartwatch Sansung M3;Danielle Hartfield;femasculino;dinheiro
2025-08-23 18:46:54.694727;44;São Paulo;Lucas Pereira;Geladeira Sansung;Matthew Lore;masculino;pix
2026-01-15 12:39:54.700592;45;Belo Horizonte;Olivia Sousa;Playstation 5;Eva Hively;femasculino;boleto
2025-04-15 17:21:54.707713;46;Florianopoles;Isabale Gomes;Playstation 5;Milton Hollin;masculino;pix
2025-12-31 12:57:54.719777;47;Recife;João Victor;Smartwatch Sansung M3;Jose Conrad;masculino;cartão de crédito
2025-05-17 13:51:54.720328;48;Florianopoles;Paulo de Sousa;Smartphone Sansung Galaxy;Jennifer Pate;femasculino;dinheiro
2025-11-30 19:14:54.720794;49;Recife;Bruno Otavio;Cama Solteiro Ortobom;Karin Gammon;femasculino;pix
2025-06-19 12:03:54.722951;50;Recife;João Victor;Playstation 5;Ann Minucci;femasculino;cartão de crédito
2025-09-21 10:58:54.753293;51;Copa Cabana;Luis Costa;Smartphone Sansung Galaxy;Ray Amos;masculino;pix
2025-11-16 14:43:54.754090;52;Recife;João Victor;Playstation 5;Byron Farmer;masculino;dinheiro
2025-02-13 13:41:54.754455;53;Copa Cabana;Carlos Silva;Cama Solteiro Ortobom;Howard Hawkins;masculino;boleto
2025-04-09 10:08:54.754648;54;Florianopoles;Isabale Gomes;Smartwatch Sansung M3;Lona Fournier;femasculino;boleto
2025-11-29 15:57:54.755850;55;Belo Horizonte;Olivia Sousa;Smartwatch Sansung M3;Ashley Hess;femasculino;cartão de crédito
2025-04-17 10:32:54.756234;56;Recife;Bruno Otavio;Cama Solteiro Ortobom;Rose Graham;femasculino;dinheiro
2026-01-17 18:31:54.756412;57;Belo Horizonte;Joana Silva;Playstation 5;Heather Copstead;femasculino;pix
2025-09-20 20:24:54.784360;58;Florianopoles;Isabale Gomes;Smartphone Sansung Galaxy;Britney Turner;femasculino;cartão de crédito
2025-11-16 16:18:54.784989;59;Belo Horizonte;Joana Silva;Geladeira Sansung;Anthony Neal;masculino;cartão de crédito
2025-08-04 17:38:54.785235;60;Copa Cabana;Carlos Silva;Smartphone Sansung Galaxy;Robert Grennan;masculino;cartão de crédito
2025-04-08 19:11:54.794617;61;Copa Cabana;Luis Costa;Geladeira Sansung;Tarah Swartz;femasculino;dinheiro
2025-03-18 12:40:54.796099;62;Belo Horizonte;Olivia Sousa;Cama Solteiro Ortobom;Linda Artis;femasculino;pix
2025-09-02 10:17:54.797149;63;São Paulo;Ana Oliveira;Playstation 5;Todd Dougan;masculino;boleto
2025-03-09 12:50:54.801729;64;Copa Cabana;Luis Costa;Geladeira Sansung;Edward Stjean;masculino;cartão de crédito
2025-06-18 13:08:54.806951;65;Recife;João Victor;Cama Solteiro Ortobom;Barton Pierce;masculino;pix
2025-09-03 14:37:54.807704;66;São Paulo;Lucas Pereira;Geladeira Sansung;Fred Aleman;masculino;cartão de crédito
2025-12-14 18:24:54.809011;67;Florianopoles;Isabale Gomes;Geladeira Sansung;Daniel Mixon;masculino;pix
2025-10-16 13:59:54.809934;68;São Paulo;Lucas Pereira;Playstation 5;Karen Lovett;femasculino;cartão de crédito
2025-06-23 15:01:54.810667;69;Copa Cabana;Luis Costa;Geladeira Sansung;Elizabeth Liverman;femasculino;cartão de crédito
2025-12-07 15:45:54.815391;70;Florianopoles;Paulo de Sousa;Smartwatch Sansung M3;Kelly Diederich;femasculino;dinheiro
2025-02-16 16:53:54.819949;71;Belo Horizonte;Olivia Sousa;Playstation 5;Gary Jones;masculino;boleto
2026-01-23 17:28:54.820091;72;Florianopoles;Isabale Gomes;Geladeira Sansung;Sharon Price;femasculino;cartão de crédito
2025-09-03 19:40:54.820243;73;Copa Cabana;Carlos Silva;Geladeira Sansung;Nina Colon;femasculino;cartão de crédito
2025-07-12 12:44:54.820596;74;São Paulo;Ana Oliveira;Playstation 5;Numbers Wimmer;femasculino;dinheiro
2025-11-02 14:32:54.824027;75;Recife;João Victor;Cama Solteiro Ortobom;Sandra Cavazos;femasculino;pix
